,Z_Rejon,POI,Do_Rejon,Czas_PrT_x,Czas_PuT_x,Czas_PrT_y,Czas_PuT_y
7140,10.0,13.0,13.0,81.43980285715546,89.62711258384772,82.05604708619197,90.13611258384772
7141,10.0,13.0,14.0,81.43980285715546,89.62711258384772,82.10372513551035,90.12511258384771
7142,10.0,13.0,15.0,81.43980285715546,89.62711258384772,81.0848666621005,89.58611258384771
7143,10.0,13.0,16.0,81.43980285715546,89.62711258384772,81.08667055182009,88.79511258384774
7144,10.0,13.0,17.0,81.43980285715546,89.62711258384772,81.89244170960009,89.9251125838477
7145,10.0,13.0,18.0,81.43980285715546,89.62711258384772,81.22296885151775,89.2361125838477
7146,10.0,13.0,19.0,81.43980285715546,89.62711258384772,81.20582150379825,89.05411258384773
7147,10.0,13.0,20.0,81.43980285715546,89.62711258384772,84.13249140357074,86.37111258384772
7148,10.0,13.0,21.0,81.43980285715546,89.62711258384772,81.78143546228026,92.14011258384771
7149,10.0,13.0,22.0,81.43980285715546,89.62711258384772,79.70151144894761,87.8701125838477
7150,10.0,13.0,23.0,81.43980285715546,89.62711258384772,79.611857072319,87.32111258384771
7151,10.0,13.0,24.0,81.43980285715546,89.62711258384772,79.1331250700565,86.84411258384772
7152,11.0,13.0,1.0,83.01329784473224,91.00411258384771,80.48905595580364,89.45711258384772
7153,11.0,13.0,2.0,83.01329784473224,91.00411258384771,80.05546140426011,88.31511258384771
7154,11.0,13.0,3.0,83.01329784473224,91.00411258384771,79.63230520365514,87.34111258384772
7155,11.0,13.0,4.0,83.01329784473224,91.00411258384771,79.79717157895325,87.50511258384772
7156,11.0,13.0,5.0,83.01329784473224,91.00411258384771,81.65554720728056,91.45411258384772
7157,11.0,13.0,6.0,83.01329784473224,91.00411258384771,79.95825718437133,87.66911258384772
7158,11.0,13.0,7.0,83.01329784473224,91.00411258384771,82.39488086026343,91.15611258384772
7159,11.0,13.0,8.0,83.01329784473224,91.00411258384771,82.37483343189075,91.53411258384772
7160,11.0,13.0,9.0,83.01329784473224,91.00411258384771,82.81282269623665,91.04811258384771
7161,11.0,13.0,10.0,83.01329784473224,91.00411258384771,81.24666007511604,89.5561125838477
7162,11.0,13.0,11.0,83.01329784473224,91.00411258384771,82.82015506269279,90.88011258384772
7163,11.0,13.0,12.0,83.01329784473224,91.00411258384771,82.48166685571556,91.40911258384772
7164,11.0,13.0,13.0,83.01329784473224,91.00411258384771,82.05604708619197,90.13611258384772
7165,11.0,13.0,14.0,83.01329784473224,91.00411258384771,82.10372513551035,90.12511258384771
7166,11.0,13.0,15.0,83.01329784473224,91.00411258384771,81.0848666621005,89.58611258384771
7167,11.0,13.0,16.0,83.01329784473224,91.00411258384771,81.08667055182009,88.79511258384774
7168,11.0,13.0,17.0,83.01329784473224,91.00411258384771,81.89244170960009,89.9251125838477
7169,11.0,13.0,18.0,83.01329784473224,91.00411258384771,81.22296885151775,89.2361125838477
7170,11.0,13.0,19.0,83.01329784473224,91.00411258384771,81.20582150379825,89.05411258384773
