i,A_i_C_PT_mean,A_i_C_PT_min,A_i_C_PT_max,A_i_C_PT_std,A_i_C_PT_median,A_i_C_PT_p_25,A_i_C_PT_p_75
640,36.904827,20.003891,84.13306,13.153235,33.901318,26.861254,43.990158
641,33.692955,20.0083,89.05672,11.871327,30.39909,24.634247,39.012524
642,35.241703,20.041954,86.61501,15.272657,29.422949,23.413523,43.159653
644,39.93567,20.335014,81.55757,12.060562,37.696396,33.895004,47.051033
646,34.985386,20.130035,81.11998,14.452265,29.091354,23.692366,42.31231
647,35.129993,20.000465,83.011986,14.626502,28.869423,23.69252,42.57728
650,34.93578,20.045242,82.46497,14.896854,30.964102,23.672949,42.029324
651,35.630367,20.083115,82.913605,13.371978,30.612053,26.164394,42.109665
652,35.28496,20.034836,84.19557,14.354934,29.461258,24.403389,41.714767
653,35.078968,20.021553,83.71406,14.257025,29.225605,24.442635,41.53469
654,37.845596,20.013046,83.52785,16.19318,33.163055,23.90699,47.342262
655,37.28169,20.021263,85.46561,16.364464,31.456577,23.735611,46.170834
656,41.59076,21.054245,85.680595,17.79963,35.32198,28.633308,50.797012
657,37.46175,20.002342,86.033966,16.079891,32.439964,24.059715,46.349438
658,38.618126,20.08413,88.36324,17.37172,33.34735,24.43161,47.731834
660,39.632576,20.070335,83.65197,18.295837,34.07441,23.088722,50.36759
661,41.82348,20.01326,83.71285,18.315968,35.74814,28.49784,50.028023
662,41.64083,20.091103,84.98964,18.552704,34.985924,27.378174,49.805107
663,42.624763,21.522377,82.340935,18.546774,35.70141,27.855518,52.276962
664,41.332367,20.039207,83.211205,18.510708,35.596962,26.852503,48.085594
665,42.37049,20.002449,86.02103,19.414167,35.907154,27.035511,51.00561
666,42.412594,20.004265,87.05489,19.913284,35.240448,26.758656,57.330475
