,Z_Rejon,Do_Rejon,L_Podrozy,Przez_POI,Czas_PrT,Czas_PuT
7082,10.0,16.0,0.00165422356996937,10.0,130.19474463837912,893.7796199508931
7083,10.0,16.0,0.00165422356996937,11.0,186.29684523174242,554.2615170196714
7084,10.0,16.0,0.00165422356996937,12.0,159.52550594562436,498.3071460959777
7085,10.0,16.0,0.00165422356996937,13.0,162.52647340897553,178.42222516769544
7086,10.0,16.0,0.00165422356996937,14.0,264.2841547606192,597.085449336378
7087,10.0,16.0,0.00165422356996937,15.0,171.15223935531287,554.3026814897662
7088,10.0,16.0,0.00165422356996937,16.0,454.93239552488757,579.0505653312531
7089,10.0,16.0,0.00165422356996937,17.0,119.21843863259357,391.918209468232
7090,10.0,16.0,0.00165422356996937,18.0,144.55351430738065,641.4043875949629
7091,10.0,16.0,0.00165422356996937,19.0,135.88363110447392,343.2593128370839
7092,10.0,16.0,0.00165422356996937,20.0,173.40271728095306,1201.5290182921995
7093,10.0,16.0,0.00165422356996937,21.0,227.6652202691599,674.4789732497281
7094,10.0,16.0,0.00165422356996937,22.0,188.5374164221696,599.8196646563338
7095,10.0,16.0,0.00165422356996937,23.0,234.60767329236458,1050.4062531736017
7096,10.0,16.0,0.00165422356996937,24.0,353.6493533653294,1206.6616661318453
7097,10.0,16.0,0.00165422356996937,25.0,210.85642014372033,1458.0551825867997
7098,10.0,16.0,0.00165422356996937,26.0,179.08610790450902,974.9528897628276
7099,10.0,16.0,0.00165422356996937,27.0,108.28703186237999,705.2904276761325
7100,10.0,16.0,0.00165422356996937,28.0,250.2931515200473,409.9711158009373
7101,10.0,16.0,0.00165422356996937,29.0,157.423906078825,999999.0
7102,10.0,16.0,0.00165422356996937,30.0,214.77275601850516,574.3952777951577
7103,10.0,16.0,0.00165422356996937,31.0,157.5385744202474,829.5775305810879
7104,10.0,16.0,0.00165422356996937,32.0,319.6428045544,542.8064618464718
7105,10.0,17.0,28.076185547155447,1.0,387.0488174813183,876.7032620998351
7106,10.0,17.0,28.076185547155447,2.0,142.68699039112533,856.7196568986213
7107,10.0,17.0,28.076185547155447,3.0,487.5892589539731,899.039911964763
7108,10.0,17.0,28.076185547155447,4.0,335.7603131140023,1058.3472909642976
7109,10.0,17.0,28.076185547155447,5.0,253.58083806080123,805.2650158203347
7110,10.0,17.0,28.076185547155447,6.0,781.1678313362219,1964.1954668059539
7111,10.0,17.0,28.076185547155447,7.0,828.6491855565847,999999.0
7112,10.0,17.0,28.076185547155447,8.0,253.35324866866773,906.7512152625228
7113,10.0,17.0,28.076185547155447,9.0,127.87341826523244,531.9685968594247
7114,10.0,17.0,28.076185547155447,10.0,130.57665866554396,892.1996199508931
7115,10.0,17.0,28.076185547155447,11.0,186.04320279781896,554.1435170196714
7116,10.0,17.0,28.076185547155447,12.0,159.9220896978206,498.1891460959777
7117,10.0,17.0,28.076185547155447,13.0,163.33224456675558,179.55222516769544
7118,10.0,17.0,28.076185547155447,14.0,264.07963288118316,597.594449336378
7119,10.0,17.0,28.076185547155447,15.0,169.65180266355284,554.1846814897663
7120,10.0,17.0,28.076185547155447,16.0,454.6698298460171,577.751565331253
7121,10.0,17.0,28.076185547155447,17.0,120.21544516182628,393.048209468232
7122,10.0,17.0,28.076185547155447,18.0,143.21137056179845,639.0223875949629
7123,10.0,17.0,28.076185547155447,19.0,133.20933340857547,340.8773128370839
7124,10.0,17.0,28.076185547155447,20.0,169.21858990628056,1198.6720182921995
7125,10.0,17.0,28.076185547155447,21.0,227.6242045274575,673.4709732497282
7126,10.0,17.0,28.076185547155447,22.0,188.14547386944028,597.4206646563338
7127,10.0,17.0,28.076185547155447,23.0,234.18872092275865,1049.9602531736018
7128,10.0,17.0,28.076185547155447,24.0,352.7294097492998,1203.8026661318454
7129,10.0,17.0,28.076185547155447,25.0,209.31793165363607,1455.1961825867995
7130,10.0,17.0,28.076185547155447,26.0,176.59748368588953,972.0938897628275
7131,10.0,17.0,28.076185547155447,27.0,105.79840764376048,702.4314276761324
7132,10.0,17.0,28.076185547155447,28.0,247.8045273014278,407.11211580093726
7133,10.0,17.0,28.076185547155447,29.0,158.0417169355615,999999.0
7134,10.0,17.0,28.076185547155447,30.0,218.55873519936787,578.8122777951577
7135,10.0,17.0,28.076185547155447,31.0,161.1606140132677,832.651530581088
7136,10.0,17.0,28.076185547155447,32.0,321.71100220562755,545.8804618464719
7137,10.0,18.0,5.962630529892161,1.0,388.11973914499316,879.0502620998351
7138,10.0,18.0,5.962630529892161,2.0,143.25369482991715,857.5196568986214
7139,10.0,18.0,5.962630529892161,3.0,485.31623514777806,897.5989119647629
7140,10.0,18.0,5.962630529892161,4.0,337.69646436737315,1061.8732909642977
7141,10.0,18.0,5.962630529892161,5.0,252.25292261221006,803.3600158203346
7142,10.0,18.0,5.962630529892161,6.0,782.2387529998967,1965.4394668059538
7143,10.0,18.0,5.962630529892161,7.0,830.5853368099555,999999.0
7144,10.0,18.0,5.962630529892161,8.0,254.32835630251822,907.3672152625228
