,Z_Rejon,POI,Czas_PrT,Czas_PuT
462,15.0,14.0,307.6769326273421,1412.703224668189
463,15.0,15.0,203.4594474909218,663.2233407448831
464,15.0,16.0,224.39107867603732,493.75928266562653
465,15.0,17.0,216.01010663854862,1608.119104734116
466,15.0,18.0,314.80965668081376,1646.5101937974814
467,15.0,19.0,372.3240236553961,1497.437656418542
468,15.0,20.0,435.98835570948324,1974.2415091460998
469,15.0,21.0,117.07604090524698,452.0009866248641
470,15.0,22.0,235.4135533497428,969.9603323281669
471,15.0,23.0,412.7842628124125,2035.5731265868008
472,15.0,24.0,506.6641908926333,2157.5463330659227
473,15.0,25.0,447.1943743442907,2564.2750912934
474,15.0,26.0,481.8206829179353,2242.2869448814135
475,15.0,27.0,447.32142107389643,2107.455713838066
476,15.0,28.0,482.67370798810606,1959.7960579004687
477,15.0,29.0,448.6016096603899,999999.0
478,15.0,30.0,320.16325493512636,2676.197138897579
479,15.0,31.0,292.85212946312805,2387.109765290544
480,15.0,32.0,274.1562874167059,2243.724230923236
481,16.0,1.0,439.503532930717,2713.8086310499175
482,16.0,2.0,393.91963508171386,2472.3588284493107
483,16.0,3.0,559.6782815278191,1430.0129559823815
484,16.0,4.0,542.5570503492562,3055.423645482149
485,16.0,5.0,484.85265034691525,2530.2775079101675
486,16.0,6.0,674.6875794755905,3630.982733402977
487,16.0,7.0,767.7239684919361,999999.0
488,16.0,8.0,392.1020374191353,2468.2811076312614
489,16.0,9.0,286.4843044392874,2182.8007984297124
490,16.0,10.0,315.0420697755708,2362.9163099754464
491,16.0,11.0,379.8011319303953,2779.202758509836
492,16.0,12.0,355.12205483980915,2751.2255730479887
493,16.0,13.0,263.69923360259685,1656.3711125838477
494,16.0,14.0,342.3876984303617,2163.7032246681893
495,16.0,15.0,393.44332975598405,2779.223340744883
496,16.0,16.0,446.8750642464873,2651.7592826656264
497,16.0,17.0,250.7208724415682,1763.119104734116
498,16.0,18.0,349.5204224838333,2363.5101937974814
499,16.0,19.0,412.3190470074241,2214.437656418542
500,16.0,20.0,496.2545246602444,2691.2415091461
501,16.0,21.0,449.22033476930494,3257.0009866248643
502,16.0,22.0,470.2453747242263,2824.9603323281667
503,16.0,23.0,447.49502861543215,2223.5731265868008
504,16.0,24.0,541.3749566956528,2729.5463330659227
505,16.0,25.0,481.9051401473102,3281.2750912934
506,16.0,26.0,516.5314487209548,2959.2869448814135
507,16.0,27.0,482.03218687691594,2824.455713838066
508,16.0,28.0,517.3844737911256,2676.7960579004684
509,16.0,29.0,453.88444719657645,999999.0
510,16.0,30.0,167.67665702485908,1001.1971388975788
511,16.0,31.0,138.37183449358992,1105.109765290544
512,16.0,32.0,272.8564123501211,961.724230923236
513,17.0,1.0,468.16667805773193,2062.8086310499175
